from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Frankfurt am Main,"Traunstein, Germany",1946,Not specified,Settling temporarily; sister's husband found work,11296.txt,50.1106444,8.6820917,47.8695272,12.6484621
"Traunstein, Germany",Israel,May 1950,Not specified,Immigration to newly established Israel,11296.txt,47.8695272,12.6484621,30.8124247,34.8594762
Israel,"Montreal, Canada",1952,Not specified,Economic hardship in Israel; seeking better opportunities,11296.txt,30.8124247,34.8594762,45.5031824,-73.5698065
"Montreal, Canada","Boston, United States",1955,Not specified,Marriage and relocation to join husband,11296.txt,45.5031824,-73.5698065,42.3554334,-71.060511
"Boston, United States","Connecticut, United States",1965,Not specified,Family relocation; establishing a farm and business,11296.txt,42.3554334,-71.060511,41.6500201,-72.7342163
"Rosulna, Poland","Buczacz, Poland",1935,Not mentioned,"Family home burned down, prompting relocation",11552.txt,,,49.8408333,22.5102778
"Buczacz, Poland","Stanislalow, Poland",Summers between 1935-1939,Not mentioned,"Spent summers at uncle Dr. Kurtz's home, aspiring to become a physician",11552.txt,49.8408333,22.5102778,,
"Buczacz, Poland","Chortkiv, Poland",November 1941,Train (forced deportation),"Captured during an action by German forces, deported with other Jews",11552.txt,49.8408333,22.5102778,,
"Chortkiv, Poland","Buczacz, Poland",Early 1942,Hidden in a coffin under dead bodies on a sleigh,Smuggled back home after surviving severe beating and typhoid infection,11552.txt,,,49.8408333,22.5102778
"Buczacz, Poland","Kopyczynce, Poland",1943,Wagon,Forced relocation after Buczacz ghetto declared Judenrein,11552.txt,49.8408333,22.5102778,,
"Kopyczynce, Poland",Forest near Kopyczynce,Summer 1943,On foot (escape),Escaped from mass execution at gravesite due to Milek's distraction,11552.txt,,,,
Forest near Kopyczynce,"Buczacz, Poland",Summer 1943,On foot,Returning to Buczacz to reunite with mother as previously agreed,11552.txt,,,49.8408333,22.5102778
"Buczacz, Poland",Village near Buczacz (fields and shack),Late summer 1943,On foot,Hiding and surviving with mother after reuniting,11552.txt,49.8408333,22.5102778,,
Village near Buczacz,"Buczacz, Poland",March 1944,On foot,"Liberation by Russian forces, returning to hometown",11552.txt,49.82738,22.50197,49.8408333,22.5102778
"Buczacz, Poland",Forest near Buczacz,Spring 1944,On foot (escape),Escaped second German occupation after mother's murder,11552.txt,49.8408333,22.5102778,,
Forest near Buczacz,"Przemysl, Poland",Fall 1944,"On foot, working in fields along the way","Attempting to move westward, away from danger",11552.txt,,,49.7835552,22.7885113
"Przemysl, Poland",Village near Hungarian border,Fall 1944,Train (joined Ukrainian workers),"Joined group of Ukrainian workers heading to Germany, train attacked by partisans, escaped and found work as shepherdess",11552.txt,49.7835552,22.7885113,,
Village near Hungarian border,"Buczacz, Poland",November 1944,Russian military transport,"Liberated by Russian forces, returned home",11552.txt,,,49.8408333,22.5102778
"Buczacz, Poland","Bielsko, Poland",1945,Not mentioned,"Moved westward after war, father's former business location",11552.txt,49.8408333,22.5102778,52.607327,15.9228416
"Bielsko, Poland","Lodz, Poland",1945,Not mentioned,"Recruited by Silvia Lobatkin to join Bricha organization, smuggling Jews out of Poland",11552.txt,52.607327,15.9228416,51.7728245,19.4784857
"Lodz, Poland","Bratislava, Czechoslovakia",1945-1946,Not mentioned (smuggling),Smuggling Jewish refugees out of Poland,11552.txt,51.7728245,19.4784857,,
"Bratislava, Czechoslovakia","Bad Gastein, Austria",1946,Not mentioned,Stayed to recover from illness (tuberculosis),11552.txt,,,47.1144954,13.1352653
Austria,Belgium,1946,Not mentioned,Preparing to immigrate to Palestine,11552.txt,47.59397,14.12456,50.6402809,4.6667145
Belgium,France,Spring 1947,Not mentioned,Boarding illegal immigration ship to Palestine,11552.txt,50.6402809,4.6667145,46.603354,1.8883335
France,Cyprus,Spring 1947,Ship (Theodore Herzl),"Captured by British authorities, detained in Cyprus",11552.txt,46.603354,1.8883335,34.9174159,32.8899027
Cyprus,Palestine (Israel),December 1947,Ship,"Released from Cyprus detention, immigrated to Palestine",11552.txt,34.9174159,32.8899027,50.8702394,4.3519777
Israel,"Brooklyn, New York, USA",October 1952,Not mentioned,Moved to support husband's family due to father-in-law's illness,11552.txt,30.8124247,34.8594762,40.6526006,-73.9497211
"Brooklyn, New York, USA",Israel,1969,Not mentioned,"Family moved to Israel, lived there until 1975",11552.txt,40.6526006,-73.9497211,30.8124247,34.8594762
Israel,United States,1975,Not mentioned,Returned to the United States after living in Israel,11552.txt,30.8124247,34.8594762,,
United States,Holland,1982,Not mentioned,"Moved due to husband's company relocation, wrote memoir",11552.txt,,,,
Holland,"Santa Cruz, California, USA",1985,Not mentioned,Returned to the United States after completing memoir,11552.txt,,,37.050096,-121.99059
Slawkow,neighboring city,1939,not mentioned,Attempting to escape the outbreak of war,11642.txt,48.9468388,17.6116635,35.2393114,-80.8587074
neighboring city,Slawkow,1939,walking,Forced return after realizing the neighboring city was not safe,11642.txt,35.2393114,-80.8587074,48.9468388,17.6116635
Slawkow,Sosnowiec,around 1941,train,To obtain linen for trading to support family,11642.txt,48.9468388,17.6116635,50.2712401,19.2155628
Sosnowiec,Slawkow,around 1941,train,Returning home with linen for trading,11642.txt,50.2712401,19.2155628,48.9468388,17.6116635
Slawkow,Sosnowiec,around 1941,train,Taken to court for interrogation by German authorities,11642.txt,48.9468388,17.6116635,50.2712401,19.2155628
Slawkow,Wadowice,1941,train,Transferred to jail as punishment by German authorities,11642.txt,48.9468388,17.6116635,,
Wadowice jail,Sosnowiec,around late 1941 or early 1942,not mentioned,"Released from jail, attempted to survive as a Christian",11642.txt,,,50.2712401,19.2155628
Sosnowiec,Sosnowiec Ghetto,around early 1942,walking,Decided to rejoin Jewish community and find her sister,11642.txt,50.2712401,19.2155628,,
Sosnowiec Ghetto,Ottmuth concentration camp,around 1942-1943,train,Deportation after ghetto liquidation,11642.txt,,,,
Ottmuth concentration camp,Ludwigsdorf concentration camp,around 1943-1944,train,Transferred to another camp,11642.txt,,,,
Ludwigsdorf concentration camp,Slawkow,after May 1945,train,Returned to hometown to visit grandfather's grave after liberation,11642.txt,,,48.9468388,17.6116635
Slawkow,Ludwigsdorf,after May 1945,train,Returned to camp after visiting hometown,11642.txt,48.9468388,17.6116635,46.8794563,24.5737756
Ludwigsdorf,Munich,around 1946-1947,walking and other means (crossing borders),Left camp with future husband and group to establish new life,11642.txt,46.8794563,24.5737756,48.1371079,11.5753822
Munich,Israel,around 1961,not mentioned,Considered settling in Israel after son's bar mitzvah,11642.txt,48.1371079,11.5753822,30.8124247,34.8594762
Israel,"Los Angeles, USA",around 1961-1962,not mentioned,Decided to settle near family in the United States,11642.txt,30.8124247,34.8594762,34.0536909,-118.242766
"Cluj, Romania",Another location in Cluj (Kolozsvar),Late 1943,Not mentioned,Evicted by Hungarian soldiers who took over their house,11671.txt,46.769379,23.5899542,,
"Cluj (Kolozsvar), Romania",Brick factory outskirts of Kolozsvar,April 1944,Walking,Rounded up by Hungarian soldiers for deportation,11671.txt,46.769379,23.5899542,,
Brick factory outskirts of Kolozsvar,Auschwitz concentration camp,Late April 1944,Cattle train,Deportation by Nazis,11671.txt,,,50.0389061,19.1712984
Auschwitz concentration camp,Maehrisch-Weisswasser (Sudetenland),Late 1944,Train (implied),Selected for forced labor at Telefunken electronics factory,11671.txt,50.0389061,19.1712984,,
Maehrisch-Weisswasser labor camp,Local abandoned homes in Maehrisch-Weisswasser,May 1945,Walking (implied),"Liberation by French forced laborers, hiding from Russian soldiers",11671.txt,,,,
Maehrisch-Weisswasser,"Cluj (Kolozsvar), Romania",May 1945,"Hitchhiking, wagon, bicycle, train",Returning home after liberation,11671.txt,50.0175347,16.7483582,46.769379,23.5899542
"Cluj (Kolozsvar), Romania","Budapest, Hungary",Mid-1945,Bus or other provided transport,Moving to displaced persons (DP) camp,11671.txt,46.769379,23.5899542,47.4978789,19.0402383
"Budapest, Hungary","Szombathely, Hungary",Mid-1945,Bus or other provided transport,Moving between DP camps toward Palestine,11671.txt,47.4978789,19.0402383,47.2291184,16.6187625
"Szombathely, Hungary","Graz, Austria",Mid-1945,Bus or other provided transport,Moving between DP camps toward Palestine,11671.txt,47.2291184,16.6187625,47.0708678,15.4382786
"Graz, Austria","Linz, Austria",Mid-1945,Bus or other provided transport,Moving between DP camps toward Palestine,11671.txt,47.0708678,15.4382786,,
"Linz, Austria","Salzburg, Austria",Mid-1945,Bus or other provided transport,Moving between DP camps toward Palestine,11671.txt,,,47.7981346,13.0464806
"Salzburg, Austria","Brivio, Italy",August 1946,Bus or other provided transport,Waiting for ship to Palestine,11671.txt,47.7981346,13.0464806,45.7419691,9.4441423
"Brivio, Italy",Cyprus,August 1946,Ship (Kovkamo),"Attempted immigration to Palestine, intercepted by British",11671.txt,45.7419691,9.4441423,34.9174159,32.8899027
Cyprus,"Athlit, Palestine",Late 1946,Ship (British transport),Allowed entry to Palestine after detention in Cyprus,11671.txt,34.9174159,32.8899027,,
"Athlit, Palestine","Binyamina, Palestine",Early 1947,Not mentioned,Joining kibbutz group,11671.txt,,,,
"Binyamina, Palestine","Chicago, USA",October 1947,Ship (implied),Harold continuing education in the United States,11671.txt,,,41.8755616,-87.6244212
"Berlin, Germany","Riga, Latvia","September 27, 1942",train,Deportation by Nazis,1172.txt,52.510885,13.3989367,,
"Riga, Latvia",Estonia,"October 1, 1942",train,Continued deportation,1172.txt,,,58.7523778,25.3319078
Estonia (initial camp),"Tallinn, Estonia",Spring 1943,bus,Transferred to Tallinn prison camp,1172.txt,,,59.4372155,24.7453688
"Tallinn, Estonia","Ereda, Estonia",1943,train,Transferred to another labor camp,1172.txt,59.4372155,24.7453688,59.3151238,27.2506629
"Ereda, Estonia","Goldfields, Estonia",Late 1943,unspecified,Transferred to another labor camp,1172.txt,59.3151238,27.2506629,,
"Goldfields, Estonia","Lagedi, Estonia",September or October 1944,train,Evacuation due to approaching Russian forces,1172.txt,,,59.3981997,24.9402118
"Lagedi, Estonia","Danzig, Germany",October 1944,ship,Evacuation from Estonia,1172.txt,59.3981997,24.9402118,51.4807552,6.6168002
"Danzig, Germany","Stutthof concentration camp, Germany",October 1944,small boats,Transferred to concentration camp,1172.txt,51.4807552,6.6168002,,
"Stutthof concentration camp, Germany","Ochsenzoll (near Hamburg), Germany",Late 1944,train,Transferred to labor camp to work in ammunition factory,1172.txt,,,,
"Ochsenzoll, Germany","Bergen-Belsen concentration camp, Germany",April 1945,train,Transferred as war was nearing end,1172.txt,53.6780751,10.0018152,,
"Bergen-Belsen concentration camp, Germany","Lübeck, Germany",1945,unspecified,Resettlement after liberation,1172.txt,,,,
"Lübeck, Germany","Frankfurt am Main, Germany",1945,unspecified,Moved to live with friends,1172.txt,,,50.1106444,8.6820917
"Frankfurt am Main, Germany","Lübeck, Germany",1945-1946,unspecified,Returned to live with sister,1172.txt,50.1106444,8.6820917,,
"Lübeck, Germany",Israel (Palestine),1949,unspecified,Visit and marriage,1172.txt,,,50.8702394,4.3519777
Israel (Palestine),"Lübeck, Germany",1949,unspecified,Returned after marriage,1172.txt,50.8702394,4.3519777,,
"Lübeck, Germany","New York, USA",1951,airplane,Immigration to the United States,1172.txt,,,40.7127281,-74.0060152
"New York, USA","California, USA",1980s,unspecified,Moved to be closer to family,1172.txt,40.7127281,-74.0060152,36.7014631,-118.755997
"Warsaw, Poland",Bialystok,"November 15, 1939",horse and buggy,Father sent him away fearing German kidnapping due to owning jewelry stores.,1173.txt,,,,
Bialystok,"Arkhangelsk Oblast, Russia",May or June 1940,train (cattle car),"Attempted return to Warsaw, but Russians mistrusted and deported them to Russia instead.",1173.txt,,,63.5589686,43.1221646
Arkhangelsk Oblast train station,Labor camp in Arkhangelsk woods,June 1940,truck,Transferred from train station to forced labor camp.,1173.txt,,,,
Arkhangelsk labor camp,"Saratov, Russia",1941,train,Transported towards Central Asia; became ill with typhoid fever and hospitalized in Saratov.,1173.txt,,,51.530018,46.034683
"Saratov, Russia","Tashkent, Uzbekistan",1941,train,Continued journey after hospitalization towards Central Asia.,1173.txt,51.530018,46.034683,41.3123363,69.2787079
"Tashkent, Uzbekistan","Lenger, Kazakhstan",1941,train,Sent to work in oil exploration.,1173.txt,41.3123363,69.2787079,,
"Lenger, Kazakhstan",Kolkhoz (collective farm) in Kazakhstan,Late 1941,unspecified,Transferred to agricultural work in a kolkhoz.,1173.txt,,,,
Kazakhstan kolkhoz,"Posen (Poznań), Poland",April-May 1946,train,Returned to Poland after liberation.,1173.txt,,,52.387384,16.817705
"Posen (Poznań), Poland","Warsaw, Poland",May 1946,unspecified,Visited hometown to check on family and property.,1173.txt,52.387384,16.817705,,
"Warsaw, Poland","Waldenburg, Silesia (Poland)",May 1946,train (rode on top),Moved temporarily after finding nothing left in Warsaw.,1173.txt,,,50.785221,16.2846403
"Waldenburg, Silesia","Lubeck, Germany",1946,"train via Czechoslovakia, Austria, Munich",Reunited with father and brother who survived the Holocaust.,1173.txt,50.785221,16.2846403,,
"Lubeck, Germany","Tel Aviv, Israel",1949,unspecified,Visited father and family in Israel with fiancée.,1173.txt,,,32.0852997,34.7818064
"Tel Aviv, Israel","Lubeck, Germany",1950,unspecified,Returned to Germany after marriage in Israel.,1173.txt,32.0852997,34.7818064,,
"Lubeck, Germany","New York, USA",June 1951,airplane,Immigrated to the United States with wife and newborn son.,1173.txt,,,40.7127281,-74.0060152
Ejszyszki,Farm of Horbaczewski,"1941, shortly after German occupation",Running,Escaping after confrontation with German soldier looking for sister Judith,11771.txt,,,,
Farm of Horbaczewski,Ejszyszki synagogue,"Rosh Hashanah, 1941",Walking,Forced by Lithuanian police to gather in synagogue,11771.txt,,,,
Ejszyszki synagogue,Radun,"Rosh Hashanah night, 1941",Walking,Escaping with sister Judith from synagogue confinement,11771.txt,,,49.892873,17.9432426
Radun,Ejszyszki,"Same night, Rosh Hashanah 1941",Walking,Attempting to return to rescue father and brother,11771.txt,49.892873,17.9432426,,
Ejszyszki,Mass grave site near Ejszyszki,September 1941,Walking (forced march),Forced march by Lithuanian police and Germans to execution site,11771.txt,,,,
Mass grave site near Ejszyszki,Nearby forest,September 1941,Running,Escaping execution after surviving shooting,11771.txt,,,,
Nearby forest,Farm of Horbaczewski (Juzia),September 1941,Walking,Seeking refuge after escaping execution,11771.txt,,,,
